neuropteron neuroptera
neurosis neuroses
nevus nevi
nibelung nibelungen
nidus nidi
niello nielli
nilgai nilgai
nimbostratus nimbostrati
nimbus nimbi
no noes
noctiluca noctilucae
nodus nodi
nomen nomina
notum nota
noumenon noumena
nova novae
novella novelle
novena novenae
nubecula nubeculae
nucellus nucelli
nucha nuchae
nucleolus nucleoli
nucleus nuclei
nullipara nulliparae
numbfish numbfishes
numen numina
nympha nymphae
oarfish oarfishes
oasis oases
obelus obeli
obligato obligati
obolus oboli
occiput occipita
oceanarium oceanaria
oceanid oceanides
ocellus ocelli
ochrea ochreae
ocrea ochrea ocreae
octahedron octahedra
octopus octopi
oculus oculi
odeum odea
oedema edema oedemata
oesophagus esophagus oesophagi
oldwife oldwives
oleum olea
omasum omasa
omayyad omayyades
omentum omenta
ommatidium ommatidia
ommiad ommiades
onager onagri
oogonium oogonia
ootheca oothecae
operculum opercula
optimum optima
organum organa organon organums
orthopteron orthoptera
os osar ossa ora
osculum oscula
osteoma osteomata
ostium ostia
ottoman othman ottomans
ovolo ovoli
ovotestis ovotestes
ovum ova
ox oxen
oxymoron oxymora
paddlefish paddlefishes
paisa paise
palea paleae
palestra palestrae
palingenesis palingeneses
pallium pallia
palmetto palmettoes
palpus palpi
pancratium pancratia
panettone panettoni
paparazzo paparazzi
paperknife paperknives
papilla papillae
papilloma papillomata
pappus pappi
papula papulae
papyrus papyri
parabasis parabases
paralipsis paraleipses paraleipsis
paralysis paralyses
paramecium paramecia
parament paramenta
paraphysis paraphyses
parapodium parapodia
parapraxis parapraxes
paraselene paraselenae
parashah parashoth
parasyntheton parasyntheta
parazoan parazoa
parenthesis parentheses
parergon parerga
parhelion parhelia
paries parietes
parrotfish parrotfishes
parulis parulides
pastorale pastorali
patagium patagia
patella patellae
paterfamilias patresfamilias
patina patinae
pea pease
peccadillo peccadilloes
pecten pectines
pedalo pedaloes
pekinese pekingese
pelvis pelves
penetralium penetralia
penicillium penicillia
penis penes
penknife penknives
penna pennae
penni pennia
penny pence
pentahedron pentahedra
pentimento pentimenti
penumbra penumbrae
peplum pepla
pericardium pericardia
perichondrium perichondria
pericranium pericrania
peridium peridia
perigonium perigonia
perihelion perihelia
perinephrium perinephria
perineum perinea
perionychium perionychia
periosteum periostea
periphrasis periphrases
peristalsis peristalses
perithecium perithecia
peritoneum peritonea
persona personae
pes pedes
petechia petechiae
pfennig pfennige
phalanx phalanges phalange
phallus phalli
pharynx pharynges
phenomenon phenomena
philodendron philodendra
phlyctena phlyctaena phlyctenae
phyle phylae
phyllotaxis phyllotaxes
phylloxera phylloxerae
phylogenesis phylogeneses
phylum phyla
pigfish pigfishes
pileum pilea
pileus pilei
pinetum pineta
pinfish pinfishes
pinko pinkoes
pinna pinnae
pinnula pinnulae
pipefish pipefishes
pirog pirogi
piscina piscinae
pithecanthropus pithecanthropi
pithos pithoi
placebo placeboes
placenta placentae
planetarium planetaria
planula planulae
plasmodesma plasmodesmata
plasmodium plasmodia
plateau plateaux
plectrum plectron plectra
plenum plena
pleura pleurae
pleuron pleura
plica plicae
plowman ploughman ploughmen
pneumobacillus pneumobacilli
pneumococcus pneumococci
pocketknife pocketknives
podetium podetia
podium podia
polis poleis
pollex pollices
pollinium pollinia
polychasium polychasia
polyhedron polyhedra
polyparium polyparia
polypus polypi
polyzoan polyzoa
polyzoarium polyzoaria
pons pontes
pontifex pontifices
portamento portamenti
portico porticoes
portmanteau portmanteaux
postliminium postliminia
potato potatoes
praenomen praenomina
praxis praxes
predella predelle
premaxilla premaxillae
prenomen prenomina
presa prese
primigravida primigravidae
primipara primiparae
primo primi
primordium primordia
principium principia
proboscis proboscides
proglottis proglottid proglottides
prognosis prognoses
prolegomenon prolegomena
prolepsis prolepses
promycelium promycelia
pronephros pronephra pronephroi
pronucleus pronuclei
propositus propositi
proptosis proptoses
propylaeum propylaea
propylon propyla
proscenium proscenia
prosencephalon prosencephala
prosthesis prostheses
prostomium prostomia
protasis protases
prothalamium prothalamia prothalamion
prothallium prothallia
prothallus prothalli
prothorax prothoraces
protonema protonemata
protozoan protozoa
proventriculus proventriculi
proviso provisoes
prytaneum prytanea
psalterium psalteria
pseudopodium pseudopodia
psychoneurosis psychoneuroses
psychosis psychoses
pterygium pterygia
pteryla pterylae
ptosis ptoses
pubis pubes
pudendum pudenda
pul puli
pulvillus pulvilli
pulvinus pulvini
punchinello punchinelloes
pupa pupae
puparium puparia
putamen putamina
putto putti
pycnidium pycnidia
pygidium pygidia
pylorus pylori
pyxidium pyxidia
pyxis pyxides
qaddish qaddishim
quadrennium quadrennia
quadriga quadrigae
quale qualia
quantum quanta
quarterstaff quarterstaves
quezal quezales
quinquennium quinquennia
quiz quizzes
rabbitfish rabbitfishes
radius radii
radix radices
radula radulae
ramentum ramenta
ramus rami
ranula ranulae
ranunculus ranunculi
raphe raphae
raphis raphide raphides
ratfish ratfishes
real reis reales
rearmouse rearmice
rebato rabato rabatos
rectrix rectrices
rectum recta
rectus recti
redfish redfishes
redia rediae
referendum referenda
refugium refugia
regulus reguli
relatum relata
remex remiges
reremouse reremice rearmouse
reseau reseaux
residuum residua
